Order_ID,Order_Date,Segment,Region,State,City,Category,Subcategory,Product,Quantity,Sales,Discount,Profit
ORD-00029,2023-05-30,Consumer,East,Washington,Columbus,Office Supplies,Storage,Ring Binder,10,1293.4,0.05,59.95
ORD-00030,2025-02-12,Consumer,Central,Georgia,Chicago,Technology,Copiers,USB Hub,4,628.8,0.15,35.76
ORD-00031,2025-12-17,Home Office,East,New York,Los Angeles,Office Supplies,Art,Copy Paper,7,391.27,0.0,26.84
ORD-00032,2024-07-13,Corporate,East,California,Seattle,Furniture,Chairs,Conference Table,9,997.09,0.05,245.46
ORD-00033,2025-09-23,Corporate,South,New York,Miami,Technology,Phones,USB Hub,6,41.3,0.0,2.5
ORD-00034,2024-03-07,Corporate,West,Georgia,Houston,Office Supplies,Art,Address Labels,5,720.74,0.0,107.96
ORD-00035,2025-01-31,Corporate,East,Florida,Seattle,Office Supplies,Labels,Marker Set,3,764.64,0.2,126.32
ORD-00036,2025-05-01,Home Office,West,Georgia,Atlanta,Technology,Accessories,Smartphone,8,1022.21,0.1,29.64
ORD-00037,2025-12-02,Corporate,South,California,Los Angeles,Technology,Phones,Photocopier,2,77.67,0.15,4.91
ORD-00038,2024-09-08,Home Office,East,Ohio,Houston,Furniture,Tables,Conference Table,7,194.88,0.15,22.19
ORD-00039,2024-04-01,Consumer,Central,Florida,Houston,Furniture,Chairs,Office Chair,8,1214.12,0.3,71.75
ORD-00040,2023-10-06,Consumer,West,California,Seattle,Technology,Copiers,USB Hub,9,372.59,0.05,57.93
ORD-00041,2023-03-17,Consumer,South,New York,Los Angeles,Furniture,Tables,Office Chair,9,492.58,0.3,75.18
ORD-00042,2025-08-05,Consumer,Central,New York,Miami,Technology,Copiers,USB Hub,5,1133.51,0.2,229.53
ORD-00043,2023-08-23,Consumer,Central,New York,Seattle,Office Supplies,Paper,Copy Paper,2,1453.6,0.15,236.19
ORD-00044,2023-01-29,Corporate,Central,Texas,New York City,Office Supplies,Labels,Copy Paper,5,365.18,0.1,71.03
ORD-00045,2024-03-20,Corporate,Central,Illinois,Miami,Furniture,Bookcases,Wooden Bookcase,6,1063.52,0.0,133.96
ORD-00046,2025-06-13,Consumer,West,Ohio,Houston,Furniture,Chairs,Conference Table,9,1121.43,0.15,66.85
ORD-00047,2023-02-27,Corporate,Central,Ohio,Chicago,Furniture,Chairs,Desk Lamp,5,84.23,0.3,16.29
ORD-00048,2024-10-17,Consumer,East,Washington,Los Angeles,Technology,Copiers,Smartphone,7,87.26,0.05,21.06
ORD-00049,2024-06-23,Corporate,West,Florida,Houston,Furniture,Furnishings,Conference Table,5,1462.1,0.3,146.45
ORD-00050,2025-06-27,Consumer,Central,Florida,Atlanta,Furniture,Chairs,Desk Lamp,3,1237.36,0.3,117.43
ORD-00051,2025-10-12,Home Office,South,Illinois,Chicago,Office Supplies,Paper,Copy Paper,1,1170.85,0.1,290.11
ORD-00052,2023-04-15,Consumer,South,California,Chicago,Office Supplies,Binders,Storage Box,3,218.1,0.0,14.69
ORD-00053,2025-09-23,Home Office,East,New York,Chicago,Furniture,Bookcases,Office Chair,5,1418.25,0.2,59.33
ORD-00054,2024-03-24,Corporate,Central,Illinois,Miami,Office Supplies,Binders,Storage Box,1,1140.36,0.0,127.49
ORD-00055,2025-12-13,Consumer,South,Texas,Miami,Office Supplies,Paper,Storage Box,5,150.84,0.2,17.75
ORD-00056,2024-03-10,Home Office,Central,Ohio,Houston,Technology,Machines,USB Hub,7,221.83,0.0,28.98
ORD-00057,2023-06-15,Consumer,South,Texas,Miami,Office Supplies,Storage,Storage Box,1,1179.81,0.05,196.46
ORD-00058,2025-02-23,Corporate,East,Georgia,Los Angeles,Furniture,Chairs,Desk Lamp,4,699.52,0.3,58.75
ORD-00059,2025-04-27,Home Office,South,Washington,Los Angeles,Technology,Machines,Laser Printer,6,1052.55,0.0,221.24
ORD-00060,2025-12-10,Corporate,West,Texas,Chicago,Technology,Machines,USB Hub,3,1236.25,0.05,153.49
ORD-00061,2024-06-29,Corporate,Central,Florida,Houston,Office Supplies,Binders,Address Labels,1,765.06,0.15,-12.18
ORD-00062,2023-02-17,Home Office,West,Ohio,New York City,Furniture,Tables,Wooden Bookcase,1,429.78,0.2,78.93
ORD-00063,2023-12-31,Corporate,West,Washington,Columbus,Technology,Machines,Wireless Keyboard,10,74.29,0.05,13.87
ORD-00064,2025-01-08,Corporate,Central,Texas,Houston,Office Supplies,Storage,Marker Set,3,378.86,0.05,49.73
ORD-00065,2023-05-25,Consumer,East,Texas,Columbus,Furniture,Chairs,Wooden Bookcase,4,721.48,0.05,131.48
ORD-00066,2025-01-17,Consumer,South,Georgia,Atlanta,Technology,Accessories,Wireless Keyboard,3,580.58,0.05,137.44
ORD-00067,2024-10-23,Consumer,Central,Ohio,Chicago,Technology,Copiers,Laser Printer,5,246.23,0.0,21.41
ORD-00068,2024-07-01,Consumer,South,Washington,Atlanta,Office Supplies,Binders,Storage Box,8,185.82,0.05,45.77
ORD-00069,2024-12-15,Home Office,East,California,Houston,Office Supplies,Binders,Storage Box,8,725.4,0.2,-14.24
ORD-00070,2023-01-01,Home Office,West,California,Miami,Technology,Copiers,Smartphone,10,1156.31,0.0,192.41
ORD-00071,2023-09-18,Corporate,Central,Ohio,Houston,Furniture,Bookcases,Wooden Bookcase,7,832.4,0.0,172.68
ORD-00072,2023-11-14,Home Office,Central,California,New York City,Technology,Phones,Smartphone,2,203.96,0.15,48.38
ORD-00073,2025-05-22,Home Office,West,Illinois,Atlanta,Technology,Phones,Photocopier,5,318.41,0.0,27.95
ORD-00074,2025-12-01,Consumer,East,Florida,Los Angeles,Technology,Accessories,Wireless Keyboard,9,1030.81,0.1,164.09
ORD-00075,2024-10-26,Consumer,South,Washington,Seattle,Furniture,Tables,Office Chair,1,1351.37,0.05,199.13
ORD-00076,2024-07-07,Home Office,East,Ohio,New York City,Technology,Machines,Laser Printer,4,1195.16,0.15,108.35
ORD-00077,2025-08-08,Home Office,Central,Illinois,Chicago,Furniture,Tables,Office Chair,1,69.63,0.1,11.94
ORD-00078,2023-08-04,Consumer,Central,Washington,Seattle,Furniture,Tables,Conference Table,4,607.99,0.2,25.27
ORD-00079,2023-03-10,Corporate,South,New York,New York City,Furniture,Tables,Wooden Bookcase,4,288.76,0.3,27.16
ORD-00080,2025-09-11,Corporate,West,Texas,Chicago,Technology,Accessories,Laser Printer,1,46.8,0.2,8.79
ORD-00081,2024-08-26,Consumer,West,Washington,Houston,Furniture,Furnishings,Office Chair,10,122.0,0.0,9.03
ORD-00082,2024-02-24,Corporate,East,Illinois,Chicago,Technology,Machines,Smartphone,6,1259.49,0.05,139.74
ORD-00083,2023-04-27,Consumer,Central,California,Houston,Technology,Phones,Smartphone,10,513.58,0.05,74.78
ORD-00084,2025-08-12,Home Office,East,New York,Los Angeles,Office Supplies,Paper,Storage Box,3,387.38,0.1,29.59
ORD-00085,2023-06-05,Corporate,South,New York,Columbus,Furniture,Chairs,Office Chair,2,1002.04,0.0,271.6
ORD-00086,2025-09-16,Consumer,West,California,Seattle,Office Supplies,Art,Address Labels,7,651.65,0.2,41.4
ORD-00087,2023-01-18,Home Office,East,Georgia,Atlanta,Furniture,Chairs,Office Chair,1,1167.78,0.1,161.82
ORD-00088,2025-03-10,Home Office,Central,Georgia,Chicago,Office Supplies,Storage,Marker Set,10,420.7,0.15,53.47
ORD-00089,2024-03-18,Home Office,Central,Washington,New York City,Office Supplies,Labels,Ring Binder,8,174.08,0.2,1.01
ORD-00090,2025-03-24,Corporate,South,Georgia,Atlanta,Technology,Copiers,Wireless Keyboard,4,1417.73,0.0,203.4
ORD-00091,2025-07-03,Consumer,South,Illinois,New York City,Office Supplies,Paper,Ring Binder,4,971.53,0.15,191.96
ORD-00092,2025-03-15,Consumer,South,Washington,Seattle,Technology,Accessories,Wireless Keyboard,6,1165.28,0.05,276.82
ORD-00093,2023-05-08,Home Office,East,Ohio,Atlanta,Office Supplies,Art,Ring Binder,1,737.47,0.1,129.53
ORD-00094,2023-01-04,Corporate,East,Ohio,New York City,Furniture,Bookcases,Office Chair,10,798.02,0.0,89.88
ORD-00095,2025-11-06,Corporate,West,California,Columbus,Office Supplies,Labels,Copy Paper,5,984.1,0.2,75.16
ORD-00096,2023-09-25,Corporate,South,Ohio,New York City,Furniture,Bookcases,Office Chair,9,751.53,0.1,159.73
ORD-00097,2025-03-29,Consumer,West,Ohio,New York City,Office Supplies,Paper,Copy Paper,5,912.67,0.0,127.35
ORD-00098,2023-02-24,Corporate,West,New York,Columbus,Furniture,Bookcases,Wooden Bookcase,8,1406.51,,115.47
ORD-00099,2023-12-31,Home Office,South,California,Columbus,Technology,Machines,Photocopier,2,942.53,0.1,95.79
ORD-00100,2025-11-28,Consumer,South,Georgia,Houston,Furniture,Chairs,Office Chair,3,1232.27,0.2,200.32
ORD-00101,2025-03-27,Home Office,Central,Florida,New York City,Office Supplies,Art,Storage Box,1,1426.35,0.1,79.14
ORD-00102,2025-09-02,Corporate,Central,Washington,Chicago,Technology,Copiers,USB Hub,6,1471.25,0.3,95.27
ORD-00103,2024-02-05,Home Office,South,Georgia,Houston,Furniture,Chairs,Conference Table,7,842.59,0.1,89.26
ORD-00104,2024-12-27,Home Office,West,Georgia,Houston,Technology,Phones,Laser Printer,2,1122.7,0.0,173.66
ORD-00105,2023-05-11,Corporate,West,Florida,Chicago,Technology,Phones,Laser Printer,5,804.79,0.1,84.03
ORD-00106,2023-01-16,Corporate,East,California,Chicago,Furniture,Furnishings,Office Chair,10,1317.46,0.1,127.44
ORD-00107,2025-11-28,Home Office,Central,Texas,Atlanta,Technology,Machines,USB Hub,4,97.97,0.0,5.75
ORD-00108,2023-12-06,Home Office,East,California,Seattle,Technology,Phones,Wireless Keyboard,5,1103.76,0.0,173.82
ORD-00109,2025-08-06,Consumer,East,Illinois,Los Angeles,Office Supplies,Art,Copy Paper,9,182.01,0.05,9.05
ORD-00110,2023-01-11,Home Office,South,Florida,Columbus,Furniture,Chairs,Office Chair,2,267.21,0.3,-18.2
ORD-00111,2023-08-14,Corporate,South,Illinois,Columbus,Technology,Accessories,USB Hub,9,346.32,0.0,79.41
ORD-00112,2025-11-09,Home Office,South,California,Los Angeles,Furniture,Tables,Wooden Bookcase,10,797.05,0.05,120.54
ORD-00113,2025-06-11,Consumer,West,New York,Columbus,Furniture,Furnishings,Wooden Bookcase,9,897.55,0.1,15.41
ORD-00114,2025-01-07,Consumer,Central,California,New York City,Technology,Machines,Photocopier,10,1218.08,0.15,189.01
ORD-00115,2024-03-29,Corporate,Central,Georgia,Houston,Technology,Accessories,Laser Printer,5,345.87,0.15,-3.92
ORD-00116,2025-11-29,Home Office,Central,New York,Houston,Furniture,Furnishings,Conference Table,2,824.79,0.2,120.97
ORD-00117,2024-07-10,Home Office,West,California,Chicago,Furniture,Bookcases,Wooden Bookcase,9,1396.53,0.0,294.34
ORD-00118,2024-06-18,Home Office,East,California,New York City,Furniture,Bookcases,Office Chair,10,210.73,0.05,44.67
ORD-00119,2025-12-05,Consumer,West,Washington,Houston,Office Supplies,Labels,Address Labels,1,848.57,0.0,115.95
ORD-00120,2024-08-08,Home Office,East,New York,Columbus,Furniture,Bookcases,Desk Lamp,9,1445.23,0.05,241.65
ORD-00121,2024-12-31,Corporate,West,Georgia,Miami,Furniture,Tables,Desk Lamp,1,1161.06,0.15,162.06
ORD-00122,2024-12-16,Consumer,East,Georgia,Seattle,Technology,Accessories,Wireless Keyboard,4,978.41,0.1,122.25
ORD-00123,2024-07-23,Home Office,South,Georgia,New York City,Furniture,Tables,Wooden Bookcase,7,679.94,0.05,179.29
ORD-00124,2025-06-02,Consumer,South,Washington,Chicago,Furniture,Chairs,Wooden Bookcase,2,1163.78,0.0,93.34
ORD-00125,2023-03-25,Consumer,Central,Illinois,Seattle,Office Supplies,Art,Marker Set,6,1144.94,0.1,109.58
ORD-00126,2025-03-02,Consumer,South,Georgia,Los Angeles,Office Supplies,Paper,Address Labels,2,1299.25,0.1,329.24
ORD-00127,2023-07-18,Corporate,West,Washington,New York City,Furniture,Chairs,Office Chair,3,1199.26,0.05,276.47
ORD-00128,2025-10-13,Consumer,East,Florida,Miami,Office Supplies,Binders,Ring Binder,6,881.32,0.05,194.49
ORD-00129,2024-08-29,Corporate,Central,Texas,Columbus,Furniture,Chairs,Desk Lamp,6,451.66,0.15,78.74
ORD-00130,2025-12-05,Consumer,West,California,Los Angeles,Technology,Accessories,Laser Printer,6,934.87,0.15,152.37
ORD-00131,2024-08-11,Corporate,Central,California,Chicago,Furniture,Tables,Office Chair,4,549.55,0.05,145.52
ORD-00132,2023-11-13,Consumer,East,Washington,Miami,Office Supplies,Paper,Copy Paper,3,1346.41,0.1,203.54
ORD-00133,2023-04-21,Corporate,West,Georgia,Houston,Furniture,Tables,Desk Lamp,7,998.01,0.1,137.95
ORD-00134,2025-09-04,Home Office,West,Texas,Columbus,Technology,Machines,Smartphone,6,898.05,0.15,88.95
ORD-00135,2023-11-05,Home Office,Central,Georgia,Chicago,Technology,Machines,Photocopier,7,84.62,0.0,4.64
ORD-00136,2025-01-24,Corporate,Central,New York,New York City,Furniture,Furnishings,Desk Lamp,3,346.43,0.1,15.52
ORD-00137,2024-05-30,Consumer,South,Texas,Chicago,Furniture,Tables,Office Chair,4,767.17,0.1,98.82
ORD-00138,2025-07-20,Home Office,West,Florida,Houston,Office Supplies,Labels,Copy Paper,6,989.41,0.3,31.08
ORD-00139,2025-05-16,Consumer,West,Illinois,Seattle,Technology,Phones,Wireless Keyboard,10,1079.42,0.3,27.74
ORD-00140,2023-11-14,Consumer,Central,Ohio,Chicago,Office Supplies,Paper,Address Labels,6,1308.71,0.1,183.8
ORD-00141,2023-09-18,Corporate,Central,California,Miami,Office Supplies,Binders,Storage Box,1,1164.74,0.0,318.04
ORD-00142,2025-04-23,Corporate,East,Ohio,Atlanta,Technology,Accessories,Laser Printer,9,657.71,0.0,126.24
ORD-00143,2023-06-14,Home Office,Central,New York,Chicago,Office Supplies,Art,Marker Set,1,1269.37,0.2,98.76
ORD-00144,2024-05-25,Consumer,East,Ohio,Houston,Technology,Phones,Photocopier,5,1406.18,0.0,109.8
ORD-00145,2025-11-01,Corporate,Central,California,New York City,Furniture,Bookcases,Office Chair,10,608.12,0.1,119.74
ORD-00146,2024-03-02,Home Office,Central,Washington,Seattle,Furniture,Tables,Office Chair,2,527.13,0.1,32.83
ORD-00147,2023-05-09,Consumer,South,Georgia,Houston,Office Supplies,Paper,Marker Set,7,1015.45,0.1,234.38
ORD-00148,2023-10-30,Corporate,South,Texas,Columbus,Office Supplies,Binders,Copy Paper,8,1157.41,0.0,269.64
ORD-00149,2023-12-27,Consumer,West,Ohio,Chicago,Furniture,Bookcases,Wooden Bookcase,10,535.89,0.0,101.36
ORD-00150,2024-08-11,Consumer,West,Illinois,Los Angeles,Furniture,Chairs,Office Chair,9,181.48,0.15,25.69
ORD-00151,2025-04-30,Home Office,East,Illinois,Los Angeles,Technology,Accessories,Wireless Keyboard,1,197.91,0.1,4.97
ORD-00152,2023-11-01,Consumer,West,Illinois,Los Angeles,Office Supplies,Labels,Storage Box,1,677.74,0.0,125.4
ORD-00153,2023-11-24,Consumer,East,California,New York City,Office Supplies,Paper,Copy Paper,2,729.19,0.0,93.69
ORD-00154,2024-05-12,Home Office,West,Washington,New York City,Office Supplies,Labels,Marker Set,5,309.75,0.0,61.62
ORD-00155,2023-05-21,Consumer,South,Washington,Miami,Furniture,Furnishings,Wooden Bookcase,6,307.95,0.0,59.12
ORD-00156,2024-10-31,Corporate,South,Florida,New York City,Office Supplies,Storage,Address Labels,2,611.86,0.3,80.13
ORD-00157,2025-08-16,Home Office,East,Washington,Chicago,Technology,Machines,Photocopier,8,1194.24,0.0,311.8
ORD-00158,2025-06-09,Home Office,West,Illinois,Houston,Office Supplies,Binders,Marker Set,7,964.22,0.1,131.93
ORD-00159,2025-05-08,Consumer,Central,Illinois,Houston,Technology,Accessories,Wireless Keyboard,5,467.05,0.15,84.26
ORD-00160,2023-08-30,Home Office,West,Texas,,Furniture,Tables,Wooden Bookcase,5,268.66,0.15,58.35
ORD-00161,2024-10-11,Home Office,Central,Washington,New York City,Furniture,Tables,Desk Lamp,9,598.54,0.1,62.77
ORD-00162,2024-09-28,Corporate,East,New York,Houston,Technology,Machines,USB Hub,7,1092.28,0.0,140.3
ORD-00163,2023-12-19,Consumer,East,Florida,Atlanta,Office Supplies,Paper,Address Labels,4,303.96,0.05,26.83
ORD-00164,2023-06-09,Home Office,East,Florida,Chicago,Furniture,Chairs,Desk Lamp,5,421.3,0.1,77.89
ORD-00165,2023-12-20,Corporate,South,Florida,Houston,Office Supplies,Storage,Copy Paper,7,708.5,0.0,127.05
ORD-00166,2024-03-21,Corporate,South,California,,Furniture,Chairs,Wooden Bookcase,9,1236.27,0.0,147.36
ORD-00167,2023-12-30,Corporate,South,Florida,New York City,Technology,Copiers,USB Hub,1,1266.21,0.1,226.61
ORD-00168,2025-01-07,Corporate,Central,Georgia,Miami,Technology,Copiers,Smartphone,4,468.63,0.05,58.88
ORD-00169,2023-11-07,Corporate,Central,New York,New York City,Technology,Phones,Smartphone,6,1380.7,0.1,311.52
ORD-00170,2023-05-14,Consumer,East,Ohio,Houston,Office Supplies,Art,Ring Binder,3,1189.25,0.05,63.67
ORD-00171,2023-09-23,Corporate,South,Texas,Columbus,Office Supplies,Storage,Copy Paper,9,871.24,0.1,71.3
ORD-00172,2024-04-27,Home Office,East,Ohio,Chicago,Furniture,Tables,Desk Lamp,9,1241.3,0.15,33.69
ORD-00173,2024-06-26,Consumer,Central,Florida,Miami,Furniture,Bookcases,Desk Lamp,4,670.48,0.0,132.35
ORD-00174,2025-02-16,Home Office,South,New York,Seattle,Office Supplies,Paper,Marker Set,9,106.08,0.3,-7.53
ORD-00175,2023-07-09,Consumer,Central,New York,Chicago,Furniture,Bookcases,Wooden Bookcase,3,283.09,0.15,36.71
ORD-00176,2025-12-22,Corporate,West,Florida,Chicago,Furniture,Chairs,Wooden Bookcase,5,1332.17,0.1,88.42
ORD-00177,2024-01-21,Home Office,East,Illinois,Columbus,Office Supplies,Labels,Address Labels,5,48.4,0.05,10.48
ORD-00178,2024-05-07,Corporate,Central,Illinois,Houston,Technology,Phones,Smartphone,5,314.31,0.0,18.8
ORD-00179,2024-09-20,Home Office,South,Illinois,Miami,Furniture,Furnishings,Wooden Bookcase,10,208.26,0.2,4.34
ORD-00180,2023-01-21,Corporate,West,Illinois,Columbus,Technology,Phones,USB Hub,10,1340.29,0.3,205.97
ORD-00181,2023-08-30,Corporate,West,Illinois,Los Angeles,Furniture,Tables,Desk Lamp,10,394.53,0.2,67.16
ORD-00182,2025-05-05,Home Office,South,California,Miami,Technology,Accessories,Smartphone,3,176.43,0.3,20.25
ORD-00183,2024-10-25,Home Office,Central,Illinois,New York City,Furniture,Bookcases,Wooden Bookcase,1,1435.62,0.15,134.96
ORD-00184,2024-03-17,Home Office,South,New York,Miami,Technology,Copiers,Laser Printer,5,833.43,0.2,2.81
ORD-00185,2023-11-25,Consumer,Central,Washington,Atlanta,Technology,Copiers,Photocopier,2,1007.68,0.0,109.58
ORD-00186,2024-01-05,Home Office,East,Washington,Columbus,Furniture,Chairs,Office Chair,10,1202.1,0.05,306.95
ORD-00187,2024-06-06,Corporate,West,Georgia,Atlanta,Furniture,Furnishings,Wooden Bookcase,10,520.64,0.3,8.25
ORD-00188,2024-02-18,Corporate,East,California,Houston,Technology,Accessories,Photocopier,4,199.82,0.0,50.75
ORD-00189,2023-05-29,Corporate,West,California,Seattle,Technology,Accessories,Smartphone,5,1468.03,0.15,219.84
ORD-00190,2025-02-08,Consumer,Central,Ohio,Miami,Technology,Copiers,Laser Printer,5,1094.45,0.2,31.22
ORD-00191,2024-12-03,Home Office,Central,Illinois,Los Angeles,Furniture,Tables,Wooden Bookcase,6,856.23,0.15,161.09
ORD-00192,2024-05-29,Consumer,East,Texas,Atlanta,Furniture,Bookcases,Desk Lamp,1,431.3,0.0,108.84
ORD-00193,2025-07-11,Home Office,West,Ohio,Seattle,Furniture,Tables,Office Chair,2,545.97,0.2,85.69
ORD-00194,2025-11-09,Consumer,Central,Ohio,Columbus,Office Supplies,Paper,Marker Set,3,1266.12,0.1,188.95
ORD-00195,2023-08-15,Corporate,West,Texas,Atlanta,Technology,Phones,Photocopier,10,599.46,0.1,119.79
ORD-00196,2024-08-05,Consumer,Central,Illinois,Miami,Office Supplies,Art,Marker Set,4,774.96,0.15,32.58
ORD-00197,2023-07-30,Home Office,South,Washington,Miami,Office Supplies,Paper,Copy Paper,6,1049.22,0.15,257.18
ORD-00198,2024-04-25,Consumer,West,Ohio,Seattle,Technology,Copiers,USB Hub,2,569.7,0.0,133.49
ORD-00199,2024-10-21,Corporate,Central,California,Los Angeles,Furniture,Furnishings,Conference Table,6,1486.87,0.15,199.13
ORD-00200,2025-08-30,Home Office,Central,Texas,Houston,Furniture,Chairs,Desk Lamp,1,887.0,0.1,136.58
ORD-00201,2024-08-03,Corporate,East,New York,Columbus,Technology,Phones,Laser Printer,5,731.74,0.1,161.2
ORD-00202,2024-09-03,Consumer,South,California,Atlanta,Office Supplies,Art,Copy Paper,6,104.77,0.0,8.4
ORD-00203,2024-02-18,Corporate,East,Georgia,Miami,Furniture,Furnishings,Office Chair,6,407.32,0.0,105.27
ORD-00204,2024-08-18,Consumer,Central,Ohio,Miami,Office Supplies,Paper,Ring Binder,2,1361.53,0.0,234.81
ORD-00205,2025-08-01,Home Office,West,Georgia,New York City,Technology,Accessories,Wireless Keyboard,7,602.3,,89.58
ORD-00206,2025-09-10,Home Office,East,Illinois,New York City,Furniture,Tables,Office Chair,1,706.62,0.3,75.99
ORD-00207,2025-10-13,Corporate,Central,Florida,Seattle,Furniture,Chairs,Conference Table,7,1031.96,0.1,262.27
ORD-00208,2025-08-23,Consumer,South,Ohio,Los Angeles,Office Supplies,Storage,Ring Binder,6,1273.44,0.1,49.93
ORD-00209,2024-09-28,Home Office,East,Georgia,Atlanta,Furniture,Tables,Conference Table,7,827.24,0.0,138.87
ORD-00210,2023-10-04,Home Office,South,California,Atlanta,Office Supplies,Storage,Storage Box,4,826.37,0.2,166.64
ORD-00211,2025-09-27,Home Office,West,Florida,Columbus,Furniture,Bookcases,Conference Table,8,1477.78,0.2,43.93
ORD-00212,2025-02-12,Home Office,Central,Texas,Miami,Office Supplies,Storage,Marker Set,7,992.03,0.2,39.62
ORD-00213,2023-06-13,Consumer,East,Georgia,Atlanta,Technology,Machines,Photocopier,5,959.18,0.2,28.36
ORD-00214,2025-02-13,Corporate,West,Ohio,Miami,Office Supplies,Paper,Marker Set,3,557.39,0.2,10.11
ORD-00215,2024-09-04,Home Office,West,Illinois,Atlanta,Furniture,Bookcases,Desk Lamp,4,1201.92,0.3,239.7
ORD-00216,2024-10-31,Consumer,South,Illinois,Seattle,Technology,Accessories,Smartphone,2,265.61,0.2,29.77
ORD-00217,2025-07-18,Consumer,South,California,Miami,Technology,Phones,Smartphone,10,137.52,0.15,1.89
ORD-00218,2025-07-31,Home Office,West,Florida,Los Angeles,Office Supplies,Paper,Storage Box,9,549.54,0.1,117.46
ORD-00219,2025-09-07,Consumer,West,Texas,Columbus,Office Supplies,Labels,Marker Set,3,230.12,0.05,29.88
ORD-00220,2024-09-11,Consumer,West,Ohio,Los Angeles,Furniture,Bookcases,Desk Lamp,3,66.05,0.15,2.37
ORD-00221,2025-05-04,Home Office,West,Florida,Los Angeles,Technology,Machines,Smartphone,3,1047.34,0.1,104.3
ORD-00222,2024-04-04,Corporate,Central,Ohio,Miami,Technology,Phones,USB Hub,1,1153.78,0.2,181.05
ORD-00223,2025-06-06,Home Office,South,Washington,New York City,Furniture,Tables,Wooden Bookcase,6,355.56,0.05,22.87
ORD-00224,2023-06-03,Corporate,West,California,Los Angeles,Technology,Accessories,Laser Printer,6,434.46,0.2,2.66
ORD-00225,2025-12-22,Home Office,West,Florida,Chicago,Office Supplies,Storage,Ring Binder,9,471.03,0.2,3.52
ORD-00226,2023-09-22,Corporate,West,Georgia,Los Angeles,Office Supplies,Labels,Address Labels,1,713.78,0.05,125.05
