Order_ID,Order_Date,Segment,Region,State,City,Category,Subcategory,Product,Quantity,Sales,Discount,Profit,Year,Month,Month_Name,Year_Month,Profit_Margin,Order_Month
ORD-00017,2025-05-13,Home Office,East,New York,Seattle,Technology,Copiers,Laser Printer,7,278.06,0.15,14.93,2025,5,May,2025-05,0.053693447457383296,2025-05
ORD-00018,2023-09-20,Home Office,Central,California,Houston,Furniture,Bookcases,Desk Lamp,10,1473.61,0.1,73.94,2023,9,Sep,2023-09,0.05017609815351416,2023-09
ORD-00019,2023-01-09,Home Office,Central,Georgia,New York City,Office Supplies,Art,Address Labels,9,536.83,0.15,93.84,2023,1,Jan,2023-01,0.17480394165750796,2023-01
ORD-00020,2023-04-14,Corporate,South,California,Atlanta,Furniture,Furnishings,Desk Lamp,4,879.42,0.05,208.33,2023,4,Apr,2023-04,0.23689477155397878,2023-04
ORD-00021,2023-06-10,Consumer,East,New York,Atlanta,Office Supplies,Paper,Copy Paper,4,371.13,0.05,74.39,2023,6,Jun,2023-06,0.20044189367607038,2023-06
ORD-00022,2024-04-14,Home Office,West,California,Atlanta,Technology,Machines,Smartphone,7,390.68,0.1,94.08,2024,4,Apr,2024-04,0.24081089382614926,2024-04
ORD-00023,2025-08-17,Home Office,Central,Ohio,Los Angeles,Technology,Machines,Wireless Keyboard,1,308.96,0.15,30.2,2025,8,Aug,2025-08,0.09774728120145003,2025-08
ORD-00024,2025-12-05,Consumer,West,Florida,Columbus,Furniture,Furnishings,Office Chair,5,1327.57,0.15,304.54,2025,12,Dec,2025-12,0.2293965666593852,2025-12
ORD-00025,2023-09-10,Home Office,West,California,Miami,Office Supplies,Labels,Storage Box,5,302.55,0.1,44.56,2023,9,Sep,2023-09,0.14728144108411834,2023-09
ORD-00026,2025-05-03,Corporate,West,Ohio,Atlanta,Office Supplies,Paper,Storage Box,7,227.32,0.1,46.55,2025,5,May,2025-05,0.2047774062994897,2025-05
ORD-00027,2025-01-28,Consumer,East,Georgia,Seattle,Furniture,Chairs,Wooden Bookcase,10,1218.97,0.2,230.28,2025,1,Jan,2025-01,0.18891359098255084,2025-01
ORD-00028,2024-02-04,Corporate,West,California,Atlanta,Furniture,Furnishings,Office Chair,3,520.23,0.05,27.13,2024,2,Feb,2024-02,0.052150010572246885,2024-02
ORD-00029,2023-05-30,Consumer,East,Washington,Columbus,Office Supplies,Storage,Ring Binder,10,1293.4,0.05,59.95,2023,5,May,2023-05,0.046350703571980824,2023-05
ORD-00030,2025-02-12,Consumer,Central,Georgia,Chicago,Technology,Copiers,USB Hub,4,628.8,0.15,35.76,2025,2,Feb,2025-02,0.05687022900763359,2025-02
ORD-00031,2025-12-17,Home Office,East,New York,Los Angeles,Office Supplies,Art,Copy Paper,7,391.27,0.0,26.84,2025,12,Dec,2025-12,0.06859713241495642,2025-12
ORD-00032,2024-07-13,Corporate,East,California,Seattle,Furniture,Chairs,Conference Table,9,997.09,0.05,245.46,2024,7,Jul,2024-07,0.24617637324614627,2024-07
ORD-00033,2025-09-23,Corporate,South,New York,Miami,Technology,Phones,USB Hub,6,41.3,0.0,2.5,2025,9,Sep,2025-09,0.060532687651331726,2025-09
ORD-00034,2024-03-07,Corporate,West,Georgia,Houston,Office Supplies,Art,Address Labels,5,720.74,0.0,107.96,2024,3,Mar,2024-03,0.14979049310430945,2024-03
ORD-00035,2025-01-31,Corporate,East,Florida,Seattle,Office Supplies,Labels,Marker Set,3,764.64,0.2,126.32,2025,1,Jan,2025-01,0.16520192508893072,2025-01
ORD-00036,2025-05-01,Home Office,West,Georgia,Atlanta,Technology,Accessories,Smartphone,8,1022.21,0.1,29.64,2025,5,May,2025-05,0.028995998865203824,2025-05
ORD-00037,2025-12-02,Corporate,South,California,Los Angeles,Technology,Phones,Photocopier,2,77.67,0.15,4.91,2025,12,Dec,2025-12,0.06321617097978628,2025-12
ORD-00038,2024-09-08,Home Office,East,Ohio,Houston,Furniture,Tables,Conference Table,7,194.88,0.15,22.19,2024,9,Sep,2024-09,0.11386494252873564,2024-09
ORD-00039,2024-04-01,Consumer,Central,Florida,Houston,Furniture,Chairs,Office Chair,8,1214.12,0.3,71.75,2024,4,Apr,2024-04,0.05909630020096861,2024-04
ORD-00040,2023-10-06,Consumer,West,California,Seattle,Technology,Copiers,USB Hub,9,372.59,0.05,57.93,2023,10,Oct,2023-10,0.15547921307603532,2023-10
ORD-00041,2023-03-17,Consumer,South,New York,Los Angeles,Furniture,Tables,Office Chair,9,492.58,0.3,75.18,2023,3,Mar,2023-03,0.15262495432214057,2023-03
ORD-00042,2025-08-05,Consumer,Central,New York,Miami,Technology,Copiers,USB Hub,5,1133.51,0.2,229.53,2025,8,Aug,2025-08,0.2024949052059532,2025-08
ORD-00043,2023-08-23,Consumer,Central,New York,Seattle,Office Supplies,Paper,Copy Paper,2,1453.6,0.15,236.19,2023,8,Aug,2023-08,0.16248624105668685,2023-08
ORD-00044,2023-01-29,Corporate,Central,Texas,New York City,Office Supplies,Labels,Copy Paper,5,365.18,0.1,71.03,2023,1,Jan,2023-01,0.19450681855523302,2023-01
ORD-00045,2024-03-20,Corporate,Central,Illinois,Miami,Furniture,Bookcases,Wooden Bookcase,6,1063.52,0.0,133.96,2024,3,Mar,2024-03,0.12595907928388747,2024-03
ORD-00046,2025-06-13,Consumer,West,Ohio,Houston,Furniture,Chairs,Conference Table,9,1121.43,0.15,66.85,2025,6,Jun,2025-06,0.05961138903007766,2025-06
ORD-00047,2023-02-27,Corporate,Central,Ohio,Chicago,Furniture,Chairs,Desk Lamp,5,84.23,0.3,16.29,2023,2,Feb,2023-02,0.1933990264751276,2023-02
ORD-00048,2024-10-17,Consumer,East,Washington,Los Angeles,Technology,Copiers,Smartphone,7,87.26,0.05,21.06,2024,10,Oct,2024-10,0.2413476965390786,2024-10
ORD-00049,2024-06-23,Corporate,West,Florida,Houston,Furniture,Furnishings,Conference Table,5,1462.1,0.3,146.45,2024,6,Jun,2024-06,0.10016414745913411,2024-06
ORD-00050,2025-06-27,Consumer,Central,Florida,Atlanta,Furniture,Chairs,Desk Lamp,3,1237.36,0.3,117.43,2025,6,Jun,2025-06,0.09490366586927007,2025-06
ORD-00051,2025-10-12,Home Office,South,Illinois,Chicago,Office Supplies,Paper,Copy Paper,1,1170.85,0.1,290.11,2025,10,Oct,2025-10,0.24777725583977456,2025-10
ORD-00052,2023-04-15,Consumer,South,California,Chicago,Office Supplies,Binders,Storage Box,3,218.1,0.0,14.69,2023,4,Apr,2023-04,0.06735442457588262,2023-04
ORD-00053,2025-09-23,Home Office,East,New York,Chicago,Furniture,Bookcases,Office Chair,5,1418.25,0.2,59.33,2025,9,Sep,2025-09,0.041833245196545035,2025-09
ORD-00054,2024-03-24,Corporate,Central,Illinois,Miami,Office Supplies,Binders,Storage Box,1,1140.36,0.0,127.49,2024,3,Mar,2024-03,0.11179802869269354,2024-03
ORD-00055,2025-12-13,Consumer,South,Texas,Miami,Office Supplies,Paper,Storage Box,5,150.84,0.2,17.75,2025,12,Dec,2025-12,0.11767435693450012,2025-12
ORD-00056,2024-03-10,Home Office,Central,Ohio,Houston,Technology,Machines,USB Hub,7,221.83,0.0,28.98,2024,3,Mar,2024-03,0.13064058062480277,2024-03
ORD-00057,2023-06-15,Consumer,South,Texas,Miami,Office Supplies,Storage,Storage Box,1,1179.81,0.05,196.46,2023,6,Jun,2023-06,0.166518337698443,2023-06
ORD-00058,2025-02-23,Corporate,East,Georgia,Los Angeles,Furniture,Chairs,Desk Lamp,4,699.52,0.3,58.75,2025,2,Feb,2025-02,0.08398616193961574,2025-02
ORD-00059,2025-04-27,Home Office,South,Washington,Los Angeles,Technology,Machines,Laser Printer,6,1052.55,0.0,221.24,2025,4,Apr,2025-04,0.21019429005747947,2025-04
ORD-00060,2025-12-10,Corporate,West,Texas,Chicago,Technology,Machines,USB Hub,3,1236.25,0.05,153.49,2025,12,Dec,2025-12,0.12415773508594541,2025-12
ORD-00061,2024-06-29,Corporate,Central,Florida,Houston,Office Supplies,Binders,Address Labels,1,765.06,0.15,-12.18,2024,6,Jun,2024-06,-0.01592031997490393,2024-06
ORD-00062,2023-02-17,Home Office,West,Ohio,New York City,Furniture,Tables,Wooden Bookcase,1,429.78,0.2,78.93,2023,2,Feb,2023-02,0.18365210107496863,2023-02
ORD-00063,2023-12-31,Corporate,West,Washington,Columbus,Technology,Machines,Wireless Keyboard,10,74.29,0.05,13.87,2023,12,Dec,2023-12,0.18670076726342708,2023-12
ORD-00064,2025-01-08,Corporate,Central,Texas,Houston,Office Supplies,Storage,Marker Set,3,378.86,0.05,49.73,2025,1,Jan,2025-01,0.13126220767565855,2025-01
ORD-00065,2023-05-25,Consumer,East,Texas,Columbus,Furniture,Chairs,Wooden Bookcase,4,721.48,0.05,131.48,2023,5,May,2023-05,0.18223651383267725,2023-05
ORD-00066,2025-01-17,Consumer,South,Georgia,Atlanta,Technology,Accessories,Wireless Keyboard,3,580.58,0.05,137.44,2025,1,Jan,2025-01,0.23672878845292636,2025-01
ORD-00067,2024-10-23,Consumer,Central,Ohio,Chicago,Technology,Copiers,Laser Printer,5,246.23,0.0,21.41,2024,10,Oct,2024-10,0.08695122446493117,2024-10
ORD-00068,2024-07-01,Consumer,South,Washington,Atlanta,Office Supplies,Binders,Storage Box,8,185.82,0.05,45.77,2024,7,Jul,2024-07,0.2463136368528684,2024-07
ORD-00069,2024-12-15,Home Office,East,California,Houston,Office Supplies,Binders,Storage Box,8,725.4,0.2,-14.24,2024,12,Dec,2024-12,-0.019630548662806727,2024-12
ORD-00070,2023-01-01,Home Office,West,California,Miami,Technology,Copiers,Smartphone,10,1156.31,0.0,192.41,2023,1,Jan,2023-01,0.1664000138371198,2023-01
ORD-00071,2023-09-18,Corporate,Central,Ohio,Houston,Furniture,Bookcases,Wooden Bookcase,7,832.4,0.0,172.68,2023,9,Sep,2023-09,0.2074483421432004,2023-09
ORD-00072,2023-11-14,Home Office,Central,California,New York City,Technology,Phones,Smartphone,2,203.96,0.15,48.38,2023,11,Nov,2023-11,0.23720337321043342,2023-11
ORD-00073,2025-05-22,Home Office,West,Illinois,Atlanta,Technology,Phones,Photocopier,5,318.41,0.0,27.95,2025,5,May,2025-05,0.08777990640997455,2025-05
ORD-00074,2025-12-01,Consumer,East,Florida,Los Angeles,Technology,Accessories,Wireless Keyboard,9,1030.81,0.1,164.09,2025,12,Dec,2025-12,0.15918549490206732,2025-12
ORD-00075,2024-10-26,Consumer,South,Washington,Seattle,Furniture,Tables,Office Chair,1,1351.37,0.05,199.13,2024,10,Oct,2024-10,0.14735416651250213,2024-10
ORD-00076,2024-07-07,Home Office,East,Ohio,New York City,Technology,Machines,Laser Printer,4,1195.16,0.15,108.35,2024,7,Jul,2024-07,0.09065731784865623,2024-07
ORD-00077,2025-08-08,Home Office,Central,Illinois,Chicago,Furniture,Tables,Office Chair,1,69.63,0.1,11.94,2025,8,Aug,2025-08,0.17147781128823783,2025-08
ORD-00078,2023-08-04,Consumer,Central,Washington,Seattle,Furniture,Tables,Conference Table,4,607.99,0.2,25.27,2023,8,Aug,2023-08,0.0415631836049935,2023-08
ORD-00079,2023-03-10,Corporate,South,New York,New York City,Furniture,Tables,Wooden Bookcase,4,288.76,0.3,27.16,2023,3,Mar,2023-03,0.09405734866324976,2023-03
ORD-00080,2025-09-11,Corporate,West,Texas,Chicago,Technology,Accessories,Laser Printer,1,46.8,0.2,8.79,2025,9,Sep,2025-09,0.18782051282051282,2025-09
ORD-00081,2024-08-26,Consumer,West,Washington,Houston,Furniture,Furnishings,Office Chair,10,122.0,0.0,9.03,2024,8,Aug,2024-08,0.07401639344262295,2024-08
ORD-00082,2024-02-24,Corporate,East,Illinois,Chicago,Technology,Machines,Smartphone,6,1259.49,0.05,139.74,2024,2,Feb,2024-02,0.11094967010456613,2024-02
ORD-00083,2023-04-27,Consumer,Central,California,Houston,Technology,Phones,Smartphone,10,513.58,0.05,74.78,2023,4,Apr,2023-04,0.14560535846411463,2023-04
ORD-00084,2025-08-12,Home Office,East,New York,Los Angeles,Office Supplies,Paper,Storage Box,3,387.38,0.1,29.59,2025,8,Aug,2025-08,0.07638494501523052,2025-08
ORD-00085,2023-06-05,Corporate,South,New York,Columbus,Furniture,Chairs,Office Chair,2,1002.04,0.0,271.6,2023,6,Jun,2023-06,0.27104706398946155,2023-06
ORD-00086,2025-09-16,Consumer,West,California,Seattle,Office Supplies,Art,Address Labels,7,651.65,0.2,41.4,2025,9,Sep,2025-09,0.06353103659940151,2025-09
ORD-00087,2023-01-18,Home Office,East,Georgia,Atlanta,Furniture,Chairs,Office Chair,1,1167.78,0.1,161.82,2023,1,Jan,2023-01,0.13857062117864666,2023-01
ORD-00088,2025-03-10,Home Office,Central,Georgia,Chicago,Office Supplies,Storage,Marker Set,10,420.7,0.15,53.47,2025,3,Mar,2025-03,0.12709769431899215,2025-03
ORD-00089,2024-03-18,Home Office,Central,Washington,New York City,Office Supplies,Labels,Ring Binder,8,174.08,0.2,1.01,2024,3,Mar,2024-03,0.005801930147058823,2024-03
ORD-00090,2025-03-24,Corporate,South,Georgia,Atlanta,Technology,Copiers,Wireless Keyboard,4,1417.73,0.0,203.4,2025,3,Mar,2025-03,0.1434687846063778,2025-03
ORD-00091,2025-07-03,Consumer,South,Illinois,New York City,Office Supplies,Paper,Ring Binder,4,971.53,0.15,191.96,2025,7,Jul,2025-07,0.19758525212808664,2025-07
ORD-00092,2025-03-15,Consumer,South,Washington,Seattle,Technology,Accessories,Wireless Keyboard,6,1165.28,0.05,276.82,2025,3,Mar,2025-03,0.23755663874776878,2025-03
ORD-00093,2023-05-08,Home Office,East,Ohio,Atlanta,Office Supplies,Art,Ring Binder,1,737.47,0.1,129.53,2023,5,May,2023-05,0.175641043025479,2023-05
ORD-00094,2023-01-04,Corporate,East,Ohio,New York City,Furniture,Bookcases,Office Chair,10,798.02,0.0,89.88,2023,1,Jan,2023-01,0.11262875617152451,2023-01
ORD-00095,2025-11-06,Corporate,West,California,Columbus,Office Supplies,Labels,Copy Paper,5,984.1,0.2,75.16,2025,11,Nov,2025-11,0.07637435219997968,2025-11
ORD-00096,2023-09-25,Corporate,South,Ohio,New York City,Furniture,Bookcases,Office Chair,9,751.53,0.1,159.73,2023,9,Sep,2023-09,0.21253975223876626,2023-09
ORD-00097,2025-03-29,Consumer,West,Ohio,New York City,Office Supplies,Paper,Copy Paper,5,912.67,0.0,127.35,2025,3,Mar,2025-03,0.13953564815322078,2025-03
ORD-00098,2023-02-24,Corporate,West,New York,Columbus,Furniture,Bookcases,Wooden Bookcase,8,1406.51,0.1,115.47,2023,2,Feb,2023-02,0.08209682120994519,2023-02
ORD-00099,2023-12-31,Home Office,South,California,Columbus,Technology,Machines,Photocopier,2,942.53,0.1,95.79,2023,12,Dec,2023-12,0.1016307173246475,2023-12
ORD-00100,2025-11-28,Consumer,South,Georgia,Houston,Furniture,Chairs,Office Chair,3,1232.27,0.2,200.32,2025,11,Nov,2025-11,0.16256177623410453,2025-11
ORD-00101,2025-03-27,Home Office,Central,Florida,New York City,Office Supplies,Art,Storage Box,1,1426.35,0.1,79.14,2025,3,Mar,2025-03,0.05548427805237144,2025-03
ORD-00102,2025-09-02,Corporate,Central,Washington,Chicago,Technology,Copiers,USB Hub,6,1471.25,0.3,95.27,2025,9,Sep,2025-09,0.06475446049277825,2025-09
ORD-00103,2024-02-05,Home Office,South,Georgia,Houston,Furniture,Chairs,Conference Table,7,842.59,0.1,89.26,2024,2,Feb,2024-02,0.10593527100962509,2024-02
ORD-00104,2024-12-27,Home Office,West,Georgia,Houston,Technology,Phones,Laser Printer,2,1122.7,0.0,173.66,2024,12,Dec,2024-12,0.15468068050236036,2024-12
ORD-00105,2023-05-11,Corporate,West,Florida,Chicago,Technology,Phones,Laser Printer,5,804.79,0.1,84.03,2023,5,May,2023-05,0.10441233116713677,2023-05
ORD-00106,2023-01-16,Corporate,East,California,Chicago,Furniture,Furnishings,Office Chair,10,1317.46,0.1,127.44,2023,1,Jan,2023-01,0.09673158957387701,2023-01
ORD-00107,2025-11-28,Home Office,Central,Texas,Atlanta,Technology,Machines,USB Hub,4,97.97,0.0,5.75,2025,11,Nov,2025-11,0.05869143615392467,2025-11
ORD-00108,2023-12-06,Home Office,East,California,Seattle,Technology,Phones,Wireless Keyboard,5,1103.76,0.0,173.82,2023,12,Dec,2023-12,0.15747988693194173,2023-12
ORD-00109,2025-08-06,Consumer,East,Illinois,Los Angeles,Office Supplies,Art,Copy Paper,9,182.01,0.05,9.05,2025,8,Aug,2025-08,0.049722542717433114,2025-08
ORD-00110,2023-01-11,Home Office,South,Florida,Columbus,Furniture,Chairs,Office Chair,2,267.21,0.3,-18.2,2023,1,Jan,2023-01,-0.06811122338235845,2023-01
ORD-00111,2023-08-14,Corporate,South,Illinois,Columbus,Technology,Accessories,USB Hub,9,346.32,0.0,79.41,2023,8,Aug,2023-08,0.22929660429660428,2023-08
ORD-00112,2025-11-09,Home Office,South,California,Los Angeles,Furniture,Tables,Wooden Bookcase,10,797.05,0.05,120.54,2025,11,Nov,2025-11,0.15123267047236688,2025-11
ORD-00113,2025-06-11,Consumer,West,New York,Columbus,Furniture,Furnishings,Wooden Bookcase,9,897.55,0.1,15.41,2025,6,Jun,2025-06,0.017168959946521085,2025-06
ORD-00114,2025-01-07,Consumer,Central,California,New York City,Technology,Machines,Photocopier,10,1218.08,0.15,189.01,2025,1,Jan,2025-01,0.15517043215552345,2025-01
ORD-00115,2024-03-29,Corporate,Central,Georgia,Houston,Technology,Accessories,Laser Printer,5,345.87,0.15,-3.92,2024,3,Mar,2024-03,-0.011333738109694394,2024-03
ORD-00116,2025-11-29,Home Office,Central,New York,Houston,Furniture,Furnishings,Conference Table,2,824.79,0.2,120.97,2025,11,Nov,2025-11,0.14666763661053117,2025-11
ORD-00117,2024-07-10,Home Office,West,California,Chicago,Furniture,Bookcases,Wooden Bookcase,9,1396.53,0.0,294.34,2024,7,Jul,2024-07,0.21076525387925787,2024-07
ORD-00118,2024-06-18,Home Office,East,California,New York City,Furniture,Bookcases,Office Chair,10,210.73,0.05,44.67,2024,6,Jun,2024-06,0.21197741185403124,2024-06
ORD-00119,2025-12-05,Consumer,West,Washington,Houston,Office Supplies,Labels,Address Labels,1,848.57,0.0,115.95,2025,12,Dec,2025-12,0.13664164417785216,2025-12
ORD-00120,2024-08-08,Home Office,East,New York,Columbus,Furniture,Bookcases,Desk Lamp,9,1445.23,0.05,241.65,2024,8,Aug,2024-08,0.1672052199303917,2024-08
ORD-00121,2024-12-31,Corporate,West,Georgia,Miami,Furniture,Tables,Desk Lamp,1,1161.06,0.15,162.06,2024,12,Dec,2024-12,0.13957934990439771,2024-12
ORD-00122,2024-12-16,Consumer,East,Georgia,Seattle,Technology,Accessories,Wireless Keyboard,4,978.41,0.1,122.25,2024,12,Dec,2024-12,0.12494761909628888,2024-12
ORD-00123,2024-07-23,Home Office,South,Georgia,New York City,Furniture,Tables,Wooden Bookcase,7,679.94,0.05,179.29,2024,7,Jul,2024-07,0.26368503103214985,2024-07
ORD-00124,2025-06-02,Consumer,South,Washington,Chicago,Furniture,Chairs,Wooden Bookcase,2,1163.78,0.0,93.34,2025,6,Jun,2025-06,0.08020416229871626,2025-06
ORD-00125,2023-03-25,Consumer,Central,Illinois,Seattle,Office Supplies,Art,Marker Set,6,1144.94,0.1,109.58,2023,3,Mar,2023-03,0.09570807203870944,2023-03
ORD-00126,2025-03-02,Consumer,South,Georgia,Los Angeles,Office Supplies,Paper,Address Labels,2,1299.25,0.1,329.24,2025,3,Mar,2025-03,0.25340773523186455,2025-03
ORD-00127,2023-07-18,Corporate,West,Washington,New York City,Furniture,Chairs,Office Chair,3,1199.26,0.05,276.47,2023,7,Jul,2023-07,0.23053382919467008,2023-07
ORD-00128,2025-10-13,Consumer,East,Florida,Miami,Office Supplies,Binders,Ring Binder,6,881.32,0.05,194.49,2025,10,Oct,2025-10,0.2206803431216811,2025-10
ORD-00129,2024-08-29,Corporate,Central,Texas,Columbus,Furniture,Chairs,Desk Lamp,6,451.66,0.15,78.74,2024,8,Aug,2024-08,0.17433467652659076,2024-08
ORD-00130,2025-12-05,Consumer,West,California,Los Angeles,Technology,Accessories,Laser Printer,6,934.87,0.15,152.37,2025,12,Dec,2025-12,0.1629852278926482,2025-12
ORD-00131,2024-08-11,Corporate,Central,California,Chicago,Furniture,Tables,Office Chair,4,549.55,0.05,145.52,2024,8,Aug,2024-08,0.26479847147666274,2024-08
ORD-00132,2023-11-13,Consumer,East,Washington,Miami,Office Supplies,Paper,Copy Paper,3,1346.41,0.1,203.54,2023,11,Nov,2023-11,0.1511723769134216,2023-11
ORD-00133,2023-04-21,Corporate,West,Georgia,Houston,Furniture,Tables,Desk Lamp,7,998.01,0.1,137.95,2023,4,Apr,2023-04,0.1382250678850913,2023-04
ORD-00134,2025-09-04,Home Office,West,Texas,Columbus,Technology,Machines,Smartphone,6,898.05,0.15,88.95,2025,9,Sep,2025-09,0.09904793719726074,2025-09
ORD-00135,2023-11-05,Home Office,Central,Georgia,Chicago,Technology,Machines,Photocopier,7,84.62,0.0,4.64,2023,11,Nov,2023-11,0.05483337272512408,2023-11
ORD-00136,2025-01-24,Corporate,Central,New York,New York City,Furniture,Furnishings,Desk Lamp,3,346.43,0.1,15.52,2025,1,Jan,2025-01,0.044799815258493775,2025-01
ORD-00137,2024-05-30,Consumer,South,Texas,Chicago,Furniture,Tables,Office Chair,4,767.17,0.1,98.82,2024,5,May,2024-05,0.12881108489643756,2024-05
ORD-00138,2025-07-20,Home Office,West,Florida,Houston,Office Supplies,Labels,Copy Paper,6,989.41,0.3,31.08,2025,7,Jul,2025-07,0.03141266007014281,2025-07
ORD-00139,2025-05-16,Consumer,West,Illinois,Seattle,Technology,Phones,Wireless Keyboard,10,1079.42,0.3,27.74,2025,5,May,2025-05,0.0256989864927461,2025-05
ORD-00140,2023-11-14,Consumer,Central,Ohio,Chicago,Office Supplies,Paper,Address Labels,6,1308.71,0.1,183.8,2023,11,Nov,2023-11,0.1404436429766717,2023-11
ORD-00141,2023-09-18,Corporate,Central,California,Miami,Office Supplies,Binders,Storage Box,1,1164.74,0.0,318.04,2023,9,Sep,2023-09,0.2730566478355685,2023-09
ORD-00142,2025-04-23,Corporate,East,Ohio,Atlanta,Technology,Accessories,Laser Printer,9,657.71,0.0,126.24,2025,4,Apr,2025-04,0.19193869638594516,2025-04
ORD-00143,2023-06-14,Home Office,Central,New York,Chicago,Office Supplies,Art,Marker Set,1,1269.37,0.2,98.76,2023,6,Jun,2023-06,0.07780237440620151,2023-06
ORD-00144,2024-05-25,Consumer,East,Ohio,Houston,Technology,Phones,Photocopier,5,1406.18,0.0,109.8,2024,5,May,2024-05,0.07808388684236726,2024-05
ORD-00145,2025-11-01,Corporate,Central,California,New York City,Furniture,Bookcases,Office Chair,10,608.12,0.1,119.74,2025,11,Nov,2025-11,0.1969019272512004,2025-11
ORD-00146,2024-03-02,Home Office,Central,Washington,Seattle,Furniture,Tables,Office Chair,2,527.13,0.1,32.83,2024,3,Mar,2024-03,0.06228065183161648,2024-03
ORD-00147,2023-05-09,Consumer,South,Georgia,Houston,Office Supplies,Paper,Marker Set,7,1015.45,0.1,234.38,2023,5,May,2023-05,0.2308139248608991,2023-05
ORD-00148,2023-10-30,Corporate,South,Texas,Columbus,Office Supplies,Binders,Copy Paper,8,1157.41,0.0,269.64,2023,10,Oct,2023-10,0.2329684381506985,2023-10
ORD-00149,2023-12-27,Consumer,West,Ohio,Chicago,Furniture,Bookcases,Wooden Bookcase,10,535.89,0.0,101.36,2023,12,Dec,2023-12,0.18914329433279217,2023-12
ORD-00150,2024-08-11,Consumer,West,Illinois,Los Angeles,Furniture,Chairs,Office Chair,9,181.48,0.15,25.69,2024,8,Aug,2024-08,0.14155829843508927,2024-08
ORD-00151,2025-04-30,Home Office,East,Illinois,Los Angeles,Technology,Accessories,Wireless Keyboard,1,197.91,0.1,4.97,2025,4,Apr,2025-04,0.025112424839573544,2025-04
ORD-00152,2023-11-01,Consumer,West,Illinois,Los Angeles,Office Supplies,Labels,Storage Box,1,677.74,0.0,125.4,2023,11,Nov,2023-11,0.1850267064065866,2023-11
ORD-00153,2023-11-24,Consumer,East,California,New York City,Office Supplies,Paper,Copy Paper,2,729.19,0.0,93.69,2023,11,Nov,2023-11,0.1284850313361401,2023-11
ORD-00154,2024-05-12,Home Office,West,Washington,New York City,Office Supplies,Labels,Marker Set,5,309.75,0.0,61.62,2024,5,May,2024-05,0.19893462469733655,2024-05
ORD-00155,2023-05-21,Consumer,South,Washington,Miami,Furniture,Furnishings,Wooden Bookcase,6,307.95,0.0,59.12,2023,5,May,2023-05,0.19197921740542295,2023-05
